,Unnamed: 0,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats
0,0,Maruti Swift Dzire VDI,2014.0,450000.0,145500.0,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0
1,1,Skoda Rapid 1.5 TDI Ambition,2014.0,370000.0,120000.0,Diesel,Individual,Manual,Second Owner,21.14,1498.0,,5.0
2,2,Honda City 2017-2020 EXi,2006.0,158000.0,140000.0,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5.0
3,3,Hyundai i20 Sportz Diesel,2010.0,225000.0,127000.0,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0
4,4,Maruti Swift VXI BSIII,2007.0,130000.0,120000.0,Petrol,Individual,Manual,First Owner,16.1,,88.2,5.0
5,5,Hyundai Xcent 1.2 VTVT E Plus,2017.0,440000.0,45000.0,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0
6,6,Maruti Wagon R LXI DUO BSIII,2007.0,96000.0,175000.0,LPG,Individual,Manual,First Owner,17.3,1061.0,57.5,5.0
7,7,Maruti 800 DX BSII,2001.0,45000.0,5000.0,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0
8,8,Toyota Etios VXD,2011.0,350000.0,90000.0,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5.0
9,9,Ford Figo Diesel Celebration Edition,2013.0,200000.0,169000.0,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0
10,10,Renault Duster 110PS Diesel RxL,2014.0,500000.0,68000.0,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0
11,11,Maruti Zen LX,2005.0,92000.0,100000.0,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0
12,12,Maruti Swift Dzire VDi,2009.0,280000.0,140000.0,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0
13,13,Maruti Swift 1.3 VXi,2007.0,200000.0,80000.0,Petrol,Individual,Manual,Second Owner,,,,
